Time (s),Bx (µT),By (µT),Bz (µT)
9.40999984741211,20.608652114868164,55.493934631347656,26.44985008239746
9.420000076293945,20.570642471313477,55.925479888916016,26.931888580322266
9.430000305175781,20.59124755859375,56.59699630737305,27.26185417175293
9.4399995803833,20.785724639892578,57.48504638671875,26.87088966369629
9.449999809265137,20.980205535888672,58.37309646606445,26.47992515563965
9.460000038146973,21.068927764892578,59.261146545410156,26.487585067749023
9.470000267028809,21.206201553344727,60.104087829589844,26.967636108398438
9.479999542236328,21.38111114501953,60.960147857666016,27.27745819091797
9.489999771118164,21.525344848632812,61.918033599853516,26.530710220336914
9.5,21.979129791259766,62.64461898803711,26.530710220336914
9.510000228881836,22.22855567932129,63.3712043762207,26.29962158203125
9.520000457763672,22.354162216186523,64.39798736572266,26.214080810546875
9.529999732971191,22.52568244934082,65.44609069824219,26.231386184692383
9.539999961853027,22.9760799407959,65.85678100585938,26.0716552734375
9.550000190734863,23.235383987426758,66.66410064697266,27.928733825683594
9.5600004196167,23.396085739135742,67.1644287109375,27.332782745361328
9.569999694824219,23.427793502807617,67.48677062988281,26.899686813354492
9.579999923706055,23.362966537475586,67.66920471191406,27.340158462524414
9.59000015258789,23.298139572143555,67.66920471191406,27.63338279724121
9.600000381469727,23.233314514160156,67.26964569091797,27.152620315551758
9.609999656677246,23.26351547241211,66.98433685302734,26.950471878051758
9.619999885559082,23.050596237182617,66.62684631347656,26.66661262512207
9.630000114440918,22.67405891418457,66.10706329345703,26.327850341796875
9.640000343322754,22.8037109375,65.4612045288086,26.523332595825195
9.649999618530273,22.559083938598633,64.42693328857422,26.436656951904297
9.65999984741211,22.43695831298828,63.434364318847656,26.890464782714844
9.670000076293945,22.31398582458496,62.68281555175781,26.829465866088867
9.680000305175781,22.057411193847656,62.1674919128418,25.926958084106445
9.6899995803833,21.538799285888672,61.521636962890625,25.340511322021484
9.699999809265137,21.626113891601562,60.800323486328125,25.94171142578125
9.710000038146973,21.44819450378418,59.8548583984375,25.76466941833496
9.720000267028809,21.28777503967285,58.771366119384766,25.34278106689453
9.729999542236328,21.310073852539062,57.680843353271484,25.227449417114258
9.739999771118164,21.1155948638916,56.79279327392578,25.520671844482422
9.75,20.68589973449707,56.27090835571289,25.459245681762695
9.760000228881836,20.485023498535156,55.891502380371094,25.425058364868164
9.770000457763672,20.420196533203125,55.44156265258789,25.040620803833008
9.779999732971191,20.319992065429688,54.8287467956543,24.236562728881836
9.789999961853027,19.995861053466797,54.425086975097656,24.529787063598633
9.800000190734863,20.127866744995117,53.87941360473633,24.221240997314453
9.8100004196167,20.20125389099121,53.465091705322266,24.134565353393555
9.819999694824219,20.106414794921875,53.053585052490234,24.518295288085938
9.829999923706055,19.88239288330078,52.54118728637695,25.28093147277832
9.84000015258789,19.94721794128418,52.46045684814453,25.08544921875
9.850000381469727,19.62544059753418,52.310943603515625,24.307065963745117
9.859999656677246,19.42936134338379,51.909278869628906,24.47431755065918
9.869999885559082,19.452224731445312,51.562564849853516,24.858190536499023
9.880000114440918,19.641435623168945,51.63673400878906,24.34324073791504
9.890000343322754,19.771085739135742,51.63673400878906,24.636463165283203
9.899999618530273,19.793855667114258,51.43707275390625,23.9627742767334
9.90999984741211,19.646703720092773,51.469764709472656,24.19244384765625
9.920000076293945,19.467937469482422,51.63673400878906,24.781869888305664
9.930000305175781,19.47838020324707,51.675750732421875,24.319408416748047
9.9399995803833,19.67285919189453,52.402339935302734,24.319408416748047
9.949999809265137,19.76403045654297,52.09968566894531,23.774242401123047
9.960000038146973,19.793855667114258,52.362735748291016,24.198261260986328
9.970000267028809,19.81220245361328,53.08018493652344,25.151697158813477
