Time (s),Voltage (V)
0.004999999888241291,0.13457876443862915
0.009999999776482582,0.13457876443862915
0.014999999664723873,0.13457876443862915
0.019999999552965164,0.13457876443862915
0.02500000037252903,0.13538461923599243
0.029999999329447746,0.1361904740333557
0.03500000014901161,0.13578754663467407
0.03999999910593033,0.13538461923599243
0.04500000178813934,0.1341758370399475
0.05000000074505806,0.1329670399427414
0.054999999701976776,0.13336996734142303
0.05999999865889549,0.13377289474010468
0.06499999761581421,0.13256409764289856
0.07000000029802322,0.13135531544685364
0.07500000298023224,0.13175824284553528
0.07999999821186066,0.13216117024421692
0.08500000089406967,0.13135531544685364
0.09000000357627869,0.13054946064949036
0.0949999988079071,0.12934066355228424
0.10000000149011612,0.12813186645507812
0.10499999672174454,0.1289377212524414
0.10999999940395355,0.12974359095096588
0.11500000208616257,0.13054946064949036
0.11999999731779099,0.13135531544685364
0.125,0.13216117024421692
0.12999999523162842,0.1329670399427414
0.13500000536441803,0.13175824284553528
0.14000000059604645,0.13054946064949036
0.14499999582767487,0.13216117024421692
0.15000000596046448,0.13377289474010468
0.1550000011920929,0.13377289474010468
0.1599999964237213,0.13377289474010468
0.16500000655651093,0.1329670250415802
0.17000000178813934,0.13216117024421692
0.17499999701976776,0.13216117024421692
0.18000000715255737,0.13216117024421692
0.1850000023841858,0.1329670250415802
0.1899999976158142,0.13377289474010468
0.19499999284744263,0.13336996734142303
0.20000000298023224,0.1329670399427414
0.20499999821186066,0.13336996734142303
0.20999999344348907,0.13377289474010468
0.2150000035762787,0.13256409764289856
0.2199999988079071,0.13135531544685364
0.22499999403953552,0.130952388048172
0.23000000417232513,0.13054946064949036
0.23499999940395355,0.130952388048172
0.23999999463558197,0.13135531544685364
0.24500000476837158,0.13135531544685364
0.25,0.13135531544685364
0.2549999952316284,0.130952388048172
0.25999999046325684,0.13054946064949036
0.26499998569488525,0.13054946064949036
0.27000001072883606,0.13054946064949036
0.2750000059604645,0.12853480875492096
0.2800000011920929,0.12652015686035156
0.2849999964237213,0.1269230842590332
0.28999999165534973,0.12732601165771484
0.29499998688697815,0.12772893905639648
0.30000001192092896,0.12813186645507812
0.3050000071525574,0.12974359095096588
0.3100000023841858,0.13135531544685364
0.3149999976158142,0.13135531544685364
0.3199999928474426,0.13135531544685364
0.32499998807907104,0.13014651834964752
0.33000001311302185,0.1289377361536026
0.33500000834465027,0.13054946064949036
0.3400000035762787,0.13216117024421692
0.3449999988079071,0.1329670399427414
