Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),Fᵧ (N)
0.004999999888241291,0.10051994025707245,-9.7533597946167,0.22531381249427795,-2.041893243789673
0.009999999776482582,0.09812640398740768,-9.75514030456543,0.2285050004720688,-2.0407938957214355
0.014999999664723873,0.09708995372056961,-9.75572681427002,0.2246589958667755,-2.0423712730407715
0.019999999552965164,0.10048122704029083,-9.754351615905762,0.22411613166332245,-2.0435469150543213
0.02500000037252903,0.09682828187942505,-9.756476402282715,0.2136951982975006,-2.042630434036255
0.029999999329447746,0.0894133448600769,-9.7597074508667,0.20302966237068176,-2.042630434036255
0.03500000014901161,0.08404318988323212,-9.763486862182617,0.19236226379871368,-2.0426173210144043
0.03999999910593033,0.07975488156080246,-9.766742706298828,0.18221768736839294,-2.0407755374908447
0.04500000178813934,0.06975272297859192,-9.774747848510742,0.17051967978477478,-2.0389506816864014
0.05000000074505806,0.06169748678803444,-9.782337188720703,0.15618641674518585,-2.0389506816864014
0.054999999701976776,0.054733145982027054,-9.789384841918945,0.14385868608951569,-2.0389299392700195
0.05999999865889549,0.045731548219919205,-9.794845581054688,0.1346920281648636,-2.037087917327881
0.06499999761581421,0.034087032079696655,-9.802347183227539,0.12047168612480164,-2.035270929336548
0.07000000029802322,0.028004299849271774,-9.807836532592773,0.11840185523033142,-2.035270929336548
0.07500000298023224,0.02674778923392296,-9.814286231994629,0.11731404811143875,-2.035270929336548
0.07999999821186066,0.025170164182782173,-9.816633224487305,0.11522573232650757,-2.035270929336548
0.08500000089406967,0.022042017430067062,-9.819830894470215,0.12022218108177185,-2.035270929336548
0.09000000357627869,0.019857218489050865,-9.824623107910156,0.12352478504180908,-2.035270929336548
0.0949999988079071,0.017723608762025833,-9.82949161529541,0.1302689015865326,-2.035270929336548
0.10000000149011612,0.016599589958786964,-9.83128833770752,0.1356884241104126,-2.035270929336548
0.10499999672174454,0.017042655497789383,-9.834954261779785,0.14202864468097687,-2.035270929336548
0.10999999940395355,0.018077842891216278,-9.839249610900879,0.1554536372423172,-2.035270929336548
0.11500000208616257,0.020145203918218613,-9.84104061126709,0.16631978750228882,-2.035270929336548
0.11999999731779099,0.02128126472234726,-9.842663764953613,0.1769871860742569,-2.035270929336548
0.125,0.02234807051718235,-9.846303939819336,0.1911352574825287,-2.035317897796631
0.12999999523162842,0.024902159348130226,-9.849085807800293,0.20355333387851715,-2.0371108055114746
0.13500000536441803,0.030534710735082626,-9.846776962280273,0.21334971487522125,-2.0371105670928955
0.14000000059604645,0.03492388129234314,-9.843072891235352,0.22442854940891266,-2.037163496017456
0.14499999582767487,0.040173593908548355,-9.84227466583252,0.2316996157169342,-2.0389509201049805
0.15000000596046448,0.04844605550169945,-9.84322452545166,0.2381436973810196,-2.0390071868896484
0.1550000011920929,0.056004032492637634,-9.840839385986328,0.2430795282125473,-2.040790557861328
0.1599999964237213,0.0644451156258583,-9.839615821838379,0.2512867748737335,-2.040790557861328
0.16500000655651093,0.07297956943511963,-9.83558177947998,0.2569095194339752,-2.0408525466918945
0.17000000178813934,0.07957913726568222,-9.828800201416016,0.2554715871810913,-2.042630434036255
0.17499999701976776,0.08646217733621597,-9.823722839355469,0.2518915832042694,-2.042696237564087
0.18000000715255737,0.09243500232696533,-9.819341659545898,0.25104206800460815,-2.0444705486297607
0.1850000023841858,0.10021921992301941,-9.81501293182373,0.24955035746097565,-2.0444703102111816
0.1899999976158142,0.10583178699016571,-9.809715270996094,0.24603955447673798,-2.044542074203491
0.19499999284744263,0.11068961769342422,-9.8028564453125,0.24087749421596527,-2.046236753463745
0.20000000298023224,0.11121810972690582,-9.800155639648438,0.23411983251571655,-2.044545888900757
0.20499999821186066,0.11027175188064575,-9.79415225982666,0.22387397289276123,-2.0463876724243164
0.20999999344348907,0.10920494794845581,-9.79005241394043,0.21131999790668488,-2.048150062561035
0.2150000035762787,0.11001879721879959,-9.78721809387207,0.19898925721645355,-2.048150062561035
0.2199999988079071,0.10827364027500153,-9.786890029907227,0.18672172725200653,-2.048150062561035
0.22499999403953552,0.10754150152206421,-9.786417007446289,0.1758555918931961,-2.0482349395751953
0.23000000417232513,0.1065424457192421,-9.79012680053711,0.1623944491147995,-2.049990177154541
0.23499999940395355,0.10501149296760559,-9.791159629821777,0.15131151676177979,-2.049990177154541
0.23999999463558197,0.09832227230072021,-9.790761947631836,0.1461954265832901,-2.049990177154541
0.24500000476837158,0.09500482678413391,-9.791156768798828,0.13777850568294525,-2.049990177154541
0.25,0.09279743582010269,-9.794960975646973,0.12825162708759308,-2.049896001815796
0.2549999952316284,0.0888313427567482,-9.797895431518555,0.12048333883285522,-2.048150062561035
0.25999999046325684,0.08456411957740784,-9.803841590881348,0.11712542921304703,-2.0480523109436035
0.26499998569488525,0.08120711147785187,-9.807103157043457,0.11491366475820541,-2.0463101863861084
0.27000001072883606,0.07301706075668335,-9.813027381896973,0.11595521122217178,-2.0463104248046875
0.2750000059604645,0.06304502487182617,-9.814935684204102,0.11393874883651733,-2.0463101863861084
0.2800000011920929,0.055163346230983734,-9.821501731872559,0.11487643420696259,-2.0463101863861084
0.2849999964237213,0.05039023607969284,-9.830442428588867,0.11512936651706696,-2.046417713165283
0.28999999165534973,0.04522785171866417,-9.835554122924805,0.11602446436882019,-2.048150062561035
0.29499998688697815,0.039001673460006714,-9.843050003051758,0.11976750940084457,-2.0482614040374756
0.30000001192092896,0.033045411109924316,-9.849360466003418,0.12847991287708282,-2.049990177154541
0.3050000071525574,0.02762105129659176,-9.857560157775879,0.1345362812280655,-2.050104856491089
