Time (s),Fᵧ (N),rᵧ (m)
0.004999999888241291,-0.0647449716925621,0
0.009999999776482582,-0.061986301094293594,0
0.014999999664723873,-0.0623805969953537,0
0.019999999552965164,-0.06267386674880981,0
0.02500000037252903,-0.06106609106063843,0
0.029999999329447746,-0.06106243655085564,0
0.03500000014901161,-0.059226199984550476,0
0.03999999910593033,-0.059226199984550476,0
0.04500000178813934,-0.059226199984550476,0
0.05000000074505806,-0.059226199984550476,0
0.054999999701976776,-0.059226199984550476,0
0.05999999865889549,-0.059226199984550476,0
0.06499999761581421,-0.059226199984550476,0
0.07000000029802322,-0.0592176727950573,0
0.07500000298023224,-0.05739544332027435,0
0.07999999821186066,-0.0592164508998394,0
0.08500000089406967,-0.057386305183172226,0
0.09000000357627869,-0.057386305183172226,0
0.0949999988079071,-0.05739787966012955,0
0.10000000149011612,-0.059214018285274506,0
0.10499999672174454,-0.057386305183172226,0
0.10999999940395355,-0.05739970877766609,0
0.11500000208616257,-0.05924021080136299,0
0.11999999731779099,-0.06108071282505989,0
0.125,-0.06292121857404709,0
0.12999999523162842,-0.06476172059774399,0
0.13500000536441803,-0.06658577173948288,0
0.14000000059604645,-0.06658577173948288,0
0.14499999582767487,-0.06660343706607819,0
0.15000000596046448,-0.06842567026615143,0
0.1550000011920929,-0.06840678304433823,0
0.1599999964237213,-0.06658577173948288,0
0.16500000655651093,-0.06656566262245178,0
0.17000000178813934,-0.06474588066339493,0
0.17499999701976776,-0.06472455710172653,0
0.18000000715255737,-0.06290598958730698,0
0.1850000023841858,-0.06290598958730698,0
0.1899999976158142,-0.06290598958730698,0
0.19499999284744263,-0.06290598958730698,0
0.20000000298023224,-0.06293036043643951,0
0.20499999821186066,-0.06474588066339493,0
0.20999999344348907,-0.06474588066339493,0
0.2150000035762787,-0.06474588066339493,0
0.2199999988079071,-0.06474588066339493,0
0.22499999403953552,-0.06474588066339493,0
0.23000000417232513,-0.06474588066339493,0
0.23499999940395355,-0.06474588066339493,0
0.23999999463558197,-0.06474588066339493,0
0.24500000476837158,-0.06474588066339493,0
0.25,-0.06474588066339493,0
0.2549999952316284,-0.06474588066339493,0
0.25999999046325684,-0.06474588066339493,0
0.26499998569488525,-0.06474588066339493,0
0.27000001072883606,-0.06474588066339493,0
0.2750000059604645,-0.06474588066339493,0
0.2800000011920929,-0.06471176445484161,0
0.2849999964237213,-0.06290598958730698,0
0.28999999165534973,-0.06290598958730698,0
0.29499998688697815,-0.06290598958730698,0
0.30000001192092896,-0.06290598958730698,0
0.3050000071525574,-0.06290598958730698,0
0.3100000023841858,-0.06286821514368057,0
0.3149999976158142,-0.06106609106063843,0
0.3199999928474426,-0.06106609106063843,0
0.32499998807907104,-0.061105694621801376,0
0.33000001311302185,-0.06286577880382538,0
0.33500000834465027,-0.06106609106063843,0
0.3400000035762787,-0.06102466210722923,0
0.3449999988079071,-0.059226199984550476,0
0.3499999940395355,-0.059226199984550476,0
0.35499998927116394,-0.05926945433020592,0
0.36000001430511475,-0.06102222576737404,0
0.36500000953674316,-0.059226199984550476,0
0.3700000047683716,-0.059226199984550476,0
0.375,-0.05927189439535141,0
0.3799999952316284,-0.06106609106063843,0
0.38499999046325684,-0.06106609106063843,0
0.38999998569488525,-0.06106609106063843,0
0.39500001072883606,-0.06106609106063843,0
0.4000000059604645,-0.06106609106063843,0
0.4050000011920929,-0.06111543998122215,0
0.4099999964237213,-0.0628560334444046,0
0.41499999165534973,-0.06106609106063843,0
0.41999998688697815,-0.06106609106063843,0
0.42500001192092896,-0.06106609106063843,0
0.4300000071525574,-0.061118483543395996,0
0.4350000023841858,-0.06290598958730698,0
0.4399999976158142,-0.06290598958730698,0
0.4449999928474426,-0.06290598958730698,0
0.44999998807907104,-0.06290598958730698,0
0.45500001311302185,-0.06296142935752869,0
0.46000000834465027,-0.06474588066339493,0
0.4650000035762787,-0.06474588066339493,0
0.4699999988079071,-0.06474588066339493,0
0.4749999940395355,-0.06474588066339493,0
0.47999998927116394,-0.06480436772108078,0
0.48500001430511475,-0.06658577173948288,0
0.49000000953674316,-0.06658577173948288,0
0.4950000047683716,-0.06658577173948288,0
0.5,-0.06652484834194183,0
0.5049999952316284,-0.06474587321281433,0
0.5099999904632568,-0.06474588066339493,-0.000005631004114547977
0.5149999856948853,-0.06474588066339493,-0.00006124177161836997
0.5199999809265137,-0.06474588066339493,-0.0001168525341199711
0.5249999761581421,-0.06468190997838974,-0.00017246330389752984
0.5299999713897705,-0.06290598958730698,-0.00022807405912317336
0.5350000262260437,-0.06290598958730698,-0.00028368481434881687
0.5400000214576721,-0.06297178566455841,-0.0003392955695744604
0.5450000166893005,-0.0648786872625351,-0.00039490635390393436
0.550000011920929,-0.06849268078804016,-0.00045051713823340833
0.5550000071525574,-0.07033318281173706,-0.0005061278934590518
0.5600000023841858,-0.07217367738485336,-0.0005617386195808649
0.5649999976158142,-0.07401418685913086,-0.0006173494039103389
0.5699999928474426,-0.07592413574457169,-0.0006729601882398129
0.574999988079071,-0.0795350894331932,-0.0007285709725692868
0.5799999833106995,-0.08137558400630951,-0.0007841817568987608
0.5849999785423279,-0.08321608603000641,-0.0008397924830205739
0.5899999737739563,-0.08505658805370331,-0.0008954032673500478
0.5950000286102295,-0.0868970975279808,-0.0009510139934718609
0.6000000238418579,-0.0887376070022583,-0.0010000000474974513
0.6050000190734863,-0.0905781015753746,-0.0010000000474974513
0.6100000143051147,-0.09249293059110641,-0.0010000000474974513
0.6150000095367432,-0.09609900414943695,-0.0010000000474974513
