A7_volts (V),A8_volts (V), amps (A)
0.8, 0, 0
1.0, 0, 0
1.3, 0.004, 0.000004
1.6, 0.027, 0.000027
1.8, 0.18, 0.00018
2.1, 0.50, 0.00050
2.3, 0.799, 0.000799
2.5, 0.98, 0.00098
2.8, 1.19, 0.00119
3.1, 1.41, .00141
3.3, 1.67, .00167
