Frequency (Hz),V_0 (V),V_C (V),Phase Shift (°)
500,4,.145,88
1000,4,.320,83
3000,4,.812,77
6000,4,1.44,69
10000,4,1.97,57
25000,4,3.32,28
50000,4,3.74,13
