Frequency (Hz),V_0 (V),V_C (V),Phase Shift (°)
500,4,.175,-76
1000,4,.326,-72
3000,4,1.04,-53
6000,4,1.95,-38
10000,4,2.79,-27
25000,4,3.53,-14
50000,4,3.84,-06
