Frequency (Hz),V_0 (V),V_C (V),Phase Shift (°)
25,4,4,4
50,4.1,4,17
100,4.1,4,30
500,4,1.25,70
1000,3.9,0.625,80
5000,3.9,0.125,87
1000,3.9,0.0625,88
