Frequency (Hz),V_0 (V),V_C (V),Phase Shift (°)
10,3.9,0.0029,-13
50,3.9,0.0031,-24
100,3.9,0.0037,-41
500,4,0.126,-74
1000,3.9,0.246,-80
5000,3.9,1.23,-70
10000,3.9,2.16,-55
50000,4,2.8,-20
