Time (s),Fᵧ (N),rᵧ (m),vᵧ (m/s),aᵧ (m/s²)
0.004999999888241291,-1.7206491231918335,0,0,0
0.009999999776482582,-1.7206491231918335,0,0,0
0.014999999664723873,-1.720649003982544,0,0,0
0.019999999552965164,-1.720649003982544,0,0,0
0.02500000037252903,-1.720649003982544,0,0,0
0.029999999329447746,-1.720649003982544,0,0,0
0.03500000014901161,-1.720649003982544,0,0,0
0.03999999910593033,-1.720649003982544,0,0,0
0.04500000178813934,-1.720665693283081,0,0,0
0.05000000074505806,-1.7224888801574707,0,0,0
0.054999999701976776,-1.7224888801574707,0,0,0
0.05999999865889549,-1.7225111722946167,0,0,0
0.06499999761581421,-1.724328875541687,0,0,0
0.07000000029802322,-1.724328875541687,0,0,0
0.07500000298023224,-1.7243568897247314,0,0,0
0.07999999821186066,-1.7261688709259033,0,0,0
0.08500000089406967,-1.7261687517166138,0,0,0
0.09000000357627869,-1.7261688709259033,0,0,0
0.0949999988079071,-1.7261688709259033,0,0,0
0.10000000149011612,-1.7261687517166138,0,0,0
0.10499999672174454,-1.7261296510696411,0,0,0
0.10999999940395355,-1.724328875541687,0,0,0
0.11500000208616257,-1.7243287563323975,0,0,0
0.11999999731779099,-1.724284052848816,0,0,0
0.125,-1.7224888801574707,0,0,0
0.12999999523162842,-1.7224888801574707,0,0,0
0.13500000536441803,-1.7224385738372803,0,0,0
0.14000000059604645,-1.720649003982544,0,0,0
0.14499999582767487,-1.720649003982544,0,0,0
0.15000000596046448,-1.720649003982544,0,0,0
0.1550000011920929,-1.720649003982544,0,0,0
0.1599999964237213,-1.720649003982544,0,0,0
0.16500000655651093,-1.7207105159759521,0,0,0
0.17000000178813934,-1.7224888801574707,0,0,0
0.17499999701976776,-1.7224888801574707,0,0,0
0.18000000715255737,-1.7224888801574707,0,0,0
0.1850000023841858,-1.7224888801574707,0,0,0
0.1899999976158142,-1.7224888801574707,0,0,0
0.19499999284744263,-1.7224888801574707,0,0,0
0.20000000298023224,-1.7224888801574707,0,0,0
0.20499999821186066,-1.7224888801574707,0,0,0
0.20999999344348907,-1.7224106788635254,0,0,0
0.2150000035762787,-1.720649003982544,0,0,0
0.2199999988079071,-1.720649003982544,0,0,0
0.22499999403953552,-1.720649003982544,0,0,0
0.23000000417232513,-1.720649003982544,0,0,0
0.23499999940395355,-1.720649003982544,0,0,0
0.23999999463558197,-1.720649003982544,0,0,0
0.24500000476837158,-1.720649003982544,0,0,0
0.25,-1.720649003982544,0,0,0
0.2549999952316284,-1.720649003982544,0,0,0
0.25999999046325684,-1.720649003982544,0,0,0
0.26499998569488525,-1.720649003982544,0,0,0
0.27000001072883606,-1.720649003982544,0,0,0
0.2750000059604645,-1.720649003982544,0,0,0
0.2800000011920929,-1.720649003982544,0,0,0
0.2849999964237213,-1.720649003982544,0,0,0
0.28999999165534973,-1.720649003982544,0,0,0
0.29499998688697815,-1.720649003982544,0,0,0
0.30000001192092896,-1.720649003982544,0,0,0
0.3050000071525574,-1.720649003982544,0,0,0
0.3100000023841858,-1.720649003982544,0,0,0
0.3149999976158142,-1.720649003982544,0,0,0
0.3199999928474426,-1.720649003982544,0,0,0
0.32499998807907104,-1.720649003982544,0,0,0
0.33000001311302185,-1.720649003982544,0,0,0
0.33500000834465027,-1.720649003982544,0,0,0
0.3400000035762787,-1.7207757234573364,0,0,0
0.3449999988079071,-1.7224888801574707,0,0,0
0.3499999940395355,-1.7224888801574707,0,0,0
0.35499998927116394,-1.7224888801574707,0,0,0
0.36000001430511475,-1.7224888801574707,0,0,0
0.36500000953674316,-1.7224888801574707,0,0,0
0.3700000047683716,-1.7224888801574707,0,0,0
0.375,-1.7224888801574707,0,0,0
0.3799999952316284,-1.7224888801574707,0,0,0
0.38499999046325684,-1.7223454713821411,0,0,0
0.38999998569488525,-1.720649003982544,0,0,0
0.39500001072883606,-1.720649003982544,0,0,0
0.4000000059604645,-1.720649003982544,0,0,0
0.4050000011920929,-1.720649003982544,0,0,0
0.4099999964237213,-1.720649003982544,0,0,0
0.41499999165534973,-1.720649003982544,0,0,0
0.41999998688697815,-1.720649003982544,0,0,0
0.42500001192092896,-1.720649003982544,0,0,0
0.4300000071525574,-1.720649003982544,0,0,0
0.4350000023841858,-1.720649003982544,0,0,0
0.4399999976158142,-1.720649003982544,0,0,0
0.4449999928474426,-1.720649003982544,0,0,0
0.44999998807907104,-1.720649003982544,0,0,0
0.45500001311302185,-1.720649003982544,0,0,0
0.46000000834465027,-1.720649003982544,0,0,0
0.4650000035762787,-1.720649003982544,0,0,0
0.4699999988079071,-1.720649003982544,0,0,0
0.4749999940395355,-1.720649003982544,0,0,0
0.47999998927116394,-1.720649003982544,0,0,0
0.48500001430511475,-1.720649003982544,0,0,0
0.49000000953674316,-1.7208315134048462,0,0,0
0.4950000047683716,-1.7224888801574707,0,0,0
0.5,-1.7224888801574707,0,0,0
0.5049999952316284,-1.7226771116256714,0,0,0
0.5099999904632568,-1.724518895149231,0,0,0
0.5149999856948853,-1.7261688709259033,0,0,0
0.5199999809265137,-1.7261688709259033,0,0,0
0.5249999761581421,-1.7261688709259033,0,0,0
0.5299999713897705,-1.7263661623001099,0,0,0
0.5350000262260437,-1.7280086278915405,0,0,0
0.5400000214576721,-1.72800874710083,0,0,0
0.5450000166893005,-1.7282118797302246,0,0,0
0.550000011920929,-1.729643702507019,0,0,0
0.5550000071525574,-1.7278019189834595,0,0,0
